company,year,pos,neg,score,bert_mean_score,hybrid_score
Google,2022,140,107,33,0.8987452413769964,10.529121668963898
Google,2023,951,654,297,0.9376622310381052,89.75636356172667
Google,2024,689,705,-16,0.9274986709538494,-4.150750930332305
HSBC,2022,818,672,146,0.9427089835119526,44.45989628845837
HSBC,2023,829,785,44,0.9385894329622922,13.857012603073604
HSBC,2024,483,558,-75,0.9390630094280793,-21.842655893400345
Nestle,2022,661,406,255,0.9450847869167234,77.16155935084171
Nestle,2023,838,600,238,0.9325622295223205,72.05279356066562
Nestle,2024,266,102,164,0.9586450071009311,49.871051504970644
